Orig,Dest,Orig_txt,Dest_txt,Mode,Equipment,Rate,extraction_time
Dalian,Hong Kong,"Dalian - Zhoushuizi International Airport, China (DLC)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/3/2018 17:11
Qingdao,Hong Kong,"Qingdao, China (TAO)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/3/2018 17:11
Shanghai,Hong Kong,"Shanghai - Pu Dong, China (PVG)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/3/2018 17:11
Xiamen,Hong Kong,"Xiamen, China (XMN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/3/2018 17:11
El Paso,Hong Kong,"El Paso , TX - El Paso International Airport, USA (ELP)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:11
Groveport,Hong Kong,Groveport,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:12
Los Angeles,Hong Kong,"Los Angeles , CA - International, USA (LAX)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:12
Madison,Hong Kong,"Madison , WI, USA (MSN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:12
Myrtle Beach,Hong Kong,"Myrtle Beach, SC - Myrtle Beach AFB, USA (MYR)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:12
Newark,Hong Kong,"New York - Newark, NJ, USA (EWR)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:12
Paramount,Hong Kong,Paramount,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:13
Elizabeth,Hong Kong,"Port Elizabeth, South Africa (PLZ)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,093.51 - $1,208.62",1/3/2018 17:13
Zanesville,Hong Kong,Zanesville,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,093.51 - $1,208.62",1/3/2018 17:14
Incheon,Hong Kong,"Seoul - Incheon International Airport, South Korea (ICN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$895.40 - $989.65,1/3/2018 17:14
